[Id],[A][TNF_VS_Control],[M][TNF_VS_Control],[P][TNF_VS_Control],[As][TNF_VS_Control]
200097_s_at,11.62440074,-0.017025989,0.999941005,0
200098_s_at,11.04570645,-0.128124227,0.798627867,0
200099_s_at,13.20637684,-0.154301671,0.775726306,0
200593_s_at,10.90911357,0.097316471,0.98338325,0
200594_x_at,12.5429835,0.11428862,0.855985524,0
200595_s_at,10.98029335,0.015969605,0.999941005,0
200596_s_at,10.5224139,-0.011943899,0.999941005,0
200597_at,9.142590957,0.242616806,0.885779203,0
200598_s_at,10.99271395,-0.062560727,0.999941005,0
200599_s_at,11.87165796,-0.017610153,0.999941005,0
200600_at,11.74620343,0.354391607,0.175325929,0
200601_at,11.36567855,0.099368139,0.975283725,0
200602_at,9.680463563,-0.030776396,0.999941005,0
200603_at,10.95504228,-0.223897943,0.332174981,0
200604_s_at,10.01055517,-0.128071986,0.999941005,0
200605_s_at,11.34033266,-0.286618912,0.239118549,0
200606_at,10.28321791,-0.022848973,0.999941005,0
200607_s_at,10.27072907,-0.307042518,0.355017406,0
200608_s_at,10.15045735,-0.208983498,0.728731571,0
200609_s_at,12.48963067,0.019860258,0.999941005,0
200610_s_at,12.36113007,0.024189073,0.999941005,0
200611_s_at,12.50110252,0.175109432,0.672386171,0
200612_s_at,10.45504801,-0.039553655,0.999941005,0
200613_at,12.19344902,-0.101720144,0.912835533,0
200614_at,12.41466693,-0.05716895,0.999941005,0
200615_s_at,10.21725214,-0.005774468,0.999941005,0
200616_s_at,9.446576191,-0.092415843,0.973443173,0
200617_at,10.22461672,-0.157829564,0.600206444,0
200618_at,12.00875151,-0.007048547,0.999941005,0
200619_at,11.11116971,-0.001604159,0.999941005,0
200620_at,11.15126436,-0.169011524,0.638572705,0
200621_at,12.21419672,0.36213052,0.071312973,0
200622_x_at,10.29827561,0.055908286,0.999941005,0
200623_s_at,10.8232685,0.084192387,0.999941005,0
200624_s_at,11.56381414,-0.170335711,0.794089607,0
200625_s_at,12.17215987,0.129920928,0.866808922,0
200626_s_at,11.67148392,-0.068913576,0.999941005,0
200627_at,12.10541995,-0.11162906,0.852774517,0
200628_s_at,10.30133856,0.47768672,0.092394957,0
200629_at,10.49614237,0.529393275,0.01698274,1
200630_x_at,11.78089294,0.11863737,0.99334368,0
200631_s_at,12.19941234,-0.120339514,0.779950335,0
200632_s_at,9.964924666,-0.025701517,0.999941005,0
200633_at,13.59074608,-0.073569291,0.987048115,0
